nome,valor,marca,categoria,loc,ano,km_rodados
TOYOTA HILUX,55890,TOYOTA,Picape,SP,2008,19320.0
HONDA FIT,27500,HONDA,Hatch,SP,2009,100.0
DODGE RAM PICKUP,74990,DODGE,Hatch,SP,2008,200000.0
HONDA FIT,49790,HONDA,Mini Van,SP,2015,49140.0
JEEP RENEGADE,56990,JEEP,Utilitário,SP,2017,58773.0
CHEVROLET SONIC,31990,CHEVROLET,Hatch,SP,2012,82399.0
CHEVROLET CELTA,13990,CHEVROLET,Hatch,SP,2004,104000.0
FORD ECOSPORT,41990,FORD,Utilitário,SP,2012,78281.0
MERCEDES-BENZ C 200,49990,MERCEDES-BENZ,Hatch,SP,2010,80000.0
TOYOTA HILUX,174900,TOYOTA,Hatch,SP,2020,0.0
CHEVROLET CAPTIVA,41990,CHEVROLET,Utilitário,SP,2011,82752.0
TOYOTA COROLLA,67990,TOYOTA,Sedan,SP,2015,67112.0
TOYOTA RAV4,74990,TOYOTA,Utilitário,SP,2013,65147.0
VOLKSWAGEN UP!,38990,VOLKSWAGEN,Hatch,SP,2016,45528.0
TOYOTA HILUX,192000,TOYOTA,Hatch,SP,2020,0.0
HYUNDAI HB20,38990,HYUNDAI,Hatch,SP,2014,55098.0
MITSUBISHI LANCER,52990,MITSUBISHI,Sedan,SP,2015,52828.0
FORD FOCUS,49990,FORD,Sedan,SP,2015,40086.0
FIAT UNO,22990,FIAT,Hatch,SP,2014,119980.0
CHEVROLET COBALT,47990,CHEVROLET,Sedan,SP,2016,39615.0
CHEVROLET CRUZE,78990,CHEVROLET,Sedan,SP,2017,43860.0
HYUNDAI HB20,39890,HYUNDAI,Hatch,SP,2017,39758.0
CHEVROLET TRACKER,61990,CHEVROLET,Utilitário,SP,2015,46981.0
HONDA FIT,74500,HONDA,Hatch,SP,2020,0.0
FIAT IDEA,30990,FIAT,Mini Van,SP,2012,87437.0
TOYOTA COROLLA,46890,TOYOTA,Hatch,SP,2011,114255.0
HONDA FIT,40990,HONDA,Mini Van,SP,2013,67712.0
TOYOTA COROLLA,55990,TOYOTA,Sedan,SP,2012,87099.0
FORD ECOSPORT,27950,FORD,Hatch,SP,2010,120000.0
MERCEDES-BENZ C 180,78490,MERCEDES-BENZ,COUPE,SP,2013,35620.0
VOLKSWAGEN FOX,16990,VOLKSWAGEN,Hatch,SP,2009,89890.0
MITSUBISHI PAJERO TR4,32990,MITSUBISHI,Hatch,SP,2010,98000.0
NISSAN VERSA,48990,NISSAN,Sedan,SP,2018,31058.0
HYUNDAI HB20S,43990,HYUNDAI,Sedan,SP,2016,69128.0
VOLKSWAGEN VOYAGE,63490,VOLKSWAGEN,Hatch,SP,2019,0.0
HONDA CITY,58990,HONDA,Sedan,SP,2016,65255.0
VOLKSWAGEN SPACEFOX,35790,VOLKSWAGEN,Wagon/Perua,SP,2014,82112.0
BMW 545I,44900,BMW,Sedan,SP,2003,120000.0
MERCEDES-BENZ C 300,70900,MERCEDES-BENZ,Hatch,SP,2010,59000.0
FIAT MOBI,23590,FIAT,Hatch,SP,2018,27000.0
KIA SPORTAGE,76990,KIA,Utilitário,SP,2014,61778.0
HYUNDAI CRETA,77790,HYUNDAI,Utilitário,SP,2017,20334.0
NISSAN VERSA,49790,NISSAN,Sedan,SP,2020,25227.0
HONDA HR-V,75790,HONDA,Utilitário,SP,2016,34690.0
HONDA FIT,49790,HONDA,Mini Van,SP,2015,63310.0
CHEVROLET CLASSIC,16500,CHEVROLET,Sedan,SP,2010,128421.0
NISSAN KICKS,70990,NISSAN,Utilitário,SP,2016,20948.0
CHEVROLET CLASSIC,15900,CHEVROLET,Hatch,SP,2010,103866.0
NISSAN MARCH,33990,NISSAN,Hatch,SP,2016,20524.0
ALFA ROMEO 156,20500,ALFA ROMEO,Hatch,SP,2000,150000.0
CHEVROLET ONIX,32800,CHEVROLET,Hatch,SP,2018,22558.0
HYUNDAI TUCSON,35790,HYUNDAI,Utilitário,SP,2012,81267.0
HONDA FIT,19990,HONDA,Hatch,SP,2006,149000.0
FORD ECOSPORT,38990,FORD,SUV,SP,2013,89890.0
CHEVROLET CLASSIC,10990,CHEVROLET,Hatch,SP,2006,110000.0
RENAULT LOGAN,28990,RENAULT,Hatch,SP,2016,118000.0
VOLKSWAGEN GOLF,82990,VOLKSWAGEN,Hatch,SP,2015,67000.0
CHEVROLET MONTANA,27900,CHEVROLET,Hatch,SP,2011,75000.0
FORD FIESTA,30900,FORD,Sedan,SP,2011,99000.0
FIAT MOBI,32890,FIAT,Hatch,SP,2017,5000.0
FORD ECOSPORT,31990,FORD,Utilitário,SP,2010,77378.0
HONDA FIT,34900,HONDA,Hatch,SP,2009,90000.0
FORD KA,46990,FORD,Hatch,SP,2020,0.0
HYUNDAI HB20,30900,HYUNDAI,Hatch,SP,2012,92261.0
CHEVROLET ONIX,35990,CHEVROLET,Hatch,SP,2016,63332.0
FORD FIESTA,25900,FORD,Hatch,SP,2013,93000.0
CITROEN C4 PICASSO,77990,CITROEN,Hatch,SP,2017,30000.0
CHEVROLET PRISMA,32890,CHEVROLET,Hatch,SP,2013,82315.0
CHEVROLET ONIX,36890,CHEVROLET,Hatch,SP,2018,24773.0
FIAT TORO,107890,FIAT,Hatch,SP,2019,0.0
